name,protein,fats,carbs,calories,category,12
Сыр Дор Блю a la creme,7.0,25.0,3.0,265,12
Сыр Дорогобужский,20.0,28.0,0.0,332,12
Сыр зеленый,26.0,26.5,3.5,356,12
Сыр Ичалки Диетический 27%,12.2,12.7,0.0,164,12
Сыр Камамбер,21.0,23.0,0.0,291,12
Сыр Камбоцола,13.5,43.8,0.5,427,12
Сыр Кантали,26.7,14.1,0.0,234,12
Сыр Карат Violette творожный сливочный,8.9,27.8,3.0,298,12
Сыр Карат Волна плавленый,15.1,23.1,1.9,276,12
Сыр Карат Дружба плавленый,15.0,24.2,2.5,287,12
Сыр Карат кисломолочный плавленый,14.1,18.0,3.7,233,12
Сыр Карат Орбита плавленый,24.7,8.0,0.0,171,12
Сыр Карат с грибами для супа плавленый,15.9,25.9,1.9,304,12
Сыр Карат с луком для супа плавленый,16.4,28.6,0.0,323,12
Сыр Карат шоколадный плавленый,11.6,18.5,25.8,311,12
Сыр Карат Янтарь плавленый,12.0,26.4,3.1,297,12
Сыр Кастелло Бри,19.0,24.0,1.0,296,12
Сыр Кастелло Данаблю,19.7,28.6,0.7,339,12
Сыр Качокавалло,22.6,13.1,0.0,209,12
Сыр Кисломолочный,31.0,0.7,0.3,133,12
Сыр Козий,21.3,21.7,0.7,290,12
Сыр колбасный копчёный,23.0,19.0,0.0,271,12
Сыр Комте,28.4,32.0,0.0,407,12
Сыр Копчёный,27.7,25.3,7.3,380,12
Сыр Костромской,25.2,26.3,0.0,345,12
Сыр Курт,25.0,16.0,2.7,260,12
Сыр Ламбер,23.7,30.5,0.0,377,12
Сыр Ламбер сливочный,23.7,32.5,0.0,395,12
Сыр Ламбер Тильзитер,24.0,25.0,0.0,339,12
Сыр Латвийский,23.3,24.1,0.0,316,12
Сыр Ливаро,20.0,29.0,0.0,340,12
Сыр Лимбургер,20.1,27.3,0.1,327,12
Сыр Литовский,27.9,14.7,0.0,250,12
Сыр Маасдам,23.5,26.0,0.0,350,12
Сыр Манчего,24.0,32.0,2.6,395,12
Сыр Маскарпоне,4.8,41.5,4.8,412,12
Сыр Мексиканский,24.7,19.4,3.4,282,12
Сыр Мондзеер,22.0,20.3,6.7,280,12
Сыр Московский,26.0,26.5,3.5,356,12
Сыр Моцарелла,18.0,24.0,0.0,240,12
Сыр Моцарелла Гальбани,17.5,13.5,1.0,196,12
Сыр Моцарелла Паладин,19.0,20.0,0.0,255,12
Сыр Мраморный,24.8,25.2,0.0,326,12
Сыр Мюнстер,24.7,17.6,3.5,274,12
Сыр Ночерино,20.0,28.0,0.0,332,12
Сыр Ольтермани 17%,29.0,17.0,0.0,270,12
Сыр Ольтермани 29%,25.0,29.0,0.0,360,12
Сыр Ольтермани 55%,23.0,34.0,0.0,400,12
Сыр Ольтермани 9%,31.0,9.0,0.0,210,12
Сыр Осетинский,26.0,26.5,3.5,356,12
Сыр Панир,12.8,15.7,21.0,274,12
Сыр Пармезан,33.0,28.0,0.0,392,12
Сыр Пекорино,25.5,33.0,0.0,419,12
Сыр Перлини копченый,17.7,18.0,0.0,233,12
Сыр Песто зелёный,23.0,32.0,0.0,380,12
Сыр плавленый,16.8,11.2,23.8,257,12
Сыр плавленый шоколадный,11.6,18.5,25.8,311,12
Сыр Полесский,23.0,14.3,0.0,221,12
Сыр Пошехонский,26.0,26.5,0.0,350,12
Сыр Прибалтийский,24.6,25.2,0.0,332,12
Сыр Раклет,22.7,28.0,1.0,357,12
Сыр Реблошон,19.7,25.6,2.3,327,12
Сыр Рикотта,11.0,13.0,3.0,174,12
Сыр Ровеньки Диетический 20%,32.0,9.0,0.0,209,12
Сыр Рокамадур,21.3,21.7,0.7,290,12
Сыр Рокишкио,32.0,25.0,0.0,366,12
Сыр Рокфор,20.0,28.0,0.0,337,12
Сыр Российский,24.1,29.5,0.3,363,12
Сыр Ружетт,35.0,15.0,0.5,377,12
Сыр с белой плесенью,21.3,21.7,0.0,290,12
Сыр с голубой плесенью,17.6,31.0,1.8,363,12
Сыр с красной плесенью,20.0,29.0,0.0,340,12
Сыр с плесенью,20.0,29.0,0.0,340,12
Сыр Салер,26.3,26.6,0.0,350,12
Сыр Сбринц,30.0,33.0,0.0,429,12
Сыр Сиртаки рассольный Classic,10.0,17.0,8.0,225,12
Сыр Сметанковый,21.0,27.5,0.0,332,12
Сыр Снофриск козий натуральный,6.0,25.0,0.0,257,12
Сыр Степной,24.0,26.3,1.7,350,12
Сыр Стилтон,21.4,28.7,2.3,353,12
