name,protein,fats,carbs,calories,category,31
Батончик BSN Syntha-6 Decadence,31.6,12.6,44.2,389,31
Батончик Dymatize Elite XT Gourmet Protein Bar 42,35.3,11.8,40.0,376,31
Батончик Dymatize Elite XT Gourmet Protein Bar 85,37.6,14.1,24.7,412,31
Батончик Energy System Perform-Bar,10.0,5.0,73.0,374,31
Батончик Herbalife Протеиновый,29.0,8.6,46.0,383,31
Батончик Herbalife Формула 1 Экспресс,23.7,10.7,37.1,369,31
Батончик Ironman Slim Bar протеиновый с L-карнитином,14.0,8.0,48.0,320,31
Батончик Multipower 32% Protein Pack,31.7,11.0,45.0,407,31
Батончик Multipower Crunch Fit,15.8,14.7,55.6,419,31
Батончик Multipower Energate!,20.0,21.7,42.9,451,31
Батончик Multipower L-Carnitine Bar,25.0,8.6,38.0,348,31
Батончик Multipower Power Pack,28.6,10.6,45.7,389,31
Батончик MyProtein My Bar Zero,31.0,9.5,3.9,304,31
Батончик Optimum 100% Whey Crisp Bar,37.1,3.6,48.6,357,31
Батончик Optimum Complete Protein Diet Bar,40.0,6.0,36.0,360,31
Батончик Optimum Optimal Protein Diet Bar,40.0,5.0,46.0,360,31
Батончик Performance Bar,5.9,19.3,60.4,439,31
Батончик Леовит Худеем за неделю Мюсли Фенхель с зелёным чаем,4.2,12.4,59.2,367,31
Батончик Турбослим белковый для похудения,16.0,8.0,18.0,220,31
Борщ Леовит Худеем за неделю Сибирский с мясом,19.0,3.5,48.0,300,31
Вафли MyProtein Wafers,35.8,21.5,31.0,466,31
Гейнер BSN True-Mass,33.1,11.0,45.5,434,31
Гейнер BSN True-Mass 1200,16.1,5.2,71.9,397,31
Гейнер CytoSport Cyto Gainer,36.0,3.0,49.3,367,31
Гейнер CytoSport Monster Mass,33.3,11.3,47.3,427,31
Гейнер Dymatize Elite Mass Gainer,36.7,4.0,51.3,400,31
Гейнер Dymatize Elite Mega Gainer,21.4,5.7,63.6,393,31
Гейнер Dymatize Mega Gainer,24.0,5.6,71.2,432,31
Гейнер Dymatize Super Mass Gainer,15.6,2.4,75.4,383,31
Гейнер Gaspari Real Mass,15.4,1.1,76.9,378,31
Гейнер IronMaxx Titan V.2.0,24.3,2.0,63.0,388,31
Гейнер Max Power Big Muscle,13.9,0.5,75.6,368,31
Гейнер Muscletech 100% Premium Mass Gainer,14.5,0.8,75.7,254,31
Гейнер Muscletech Mass Tech Hardcore Pro,23.3,1.5,68.3,379,31
Гейнер Muscletech Mass Tech Performance,25.0,3.5,69.0,392,31
Гейнер Optimum Pro Complex Gainer,37.7,5.0,53.5,409,31
Гейнер Optimum Serious Mass,15.0,1.0,76.0,374,31
Гейнер Performance Amino Gainer,30.8,4.2,51.7,362,31
Гейнер Performance Turbo Mass Gainer,21.3,2.6,62.9,360,31
Гейнер Ultimate Iso Mass Xtreme Gainer,42.5,4.6,52.3,425,31
Гейнер Ultimate Magic Milk,42.7,24.0,16.0,467,31
Гейнер Ultimate Massive Whey Gainer,33.3,2.4,56.4,381,31
Гейнер Ultimate Muscle Juice 2544,22.0,7.2,60.8,396,31
Гейнер Ultimate Muscle Juice Revolution 2600,21.1,5.3,64.2,385,31
Изолят соевого белка,90.1,0.2,3.9,380,31
Каша Dymatize Elite High Protein Granola,47.2,3.5,40.3,368,31
Каша Dymatize Elite High Protein Oatmeal,48.6,3.5,34.7,361,31
Каша овсяная Леовит Худеем за неделю Абрикос,9.3,4.5,66.6,344,31
Каша овсяная Леовит Худеем за неделю Яблоко и корица,9.0,5.5,67.0,350,31
Кисель Леовит Рецепт здоровья желудочный нейтральный,0.2,0.0,93.3,351,31
Коктейль Herbalife Восстановление силы,50.8,3.4,35.2,376,31
Коктейль Herbalife Протеиновый Формула 1,34.6,8.8,34.6,356,31
Коктейль Herbalife Протеиновый Формула 1 Спорт,35.0,7.6,29.7,365,31
Коктейль Леовит Худеем за неделю белково-шоколадный,25.0,14.5,37.5,388,31
Кофе Леовит Худеем за неделю Капуччино для похудения жиросжигающий комплекс,6.0,15.0,84.0,500,31
Напиток BSN Syntha-6 Protein Shake,5.7,1.2,2.9,45,31
Напиток Dymatize Elite Liquid Protein,22.3,0.0,0.0,89,31
Напиток FortiCare со вкусом апельсин-лимон,9.0,5.3,19.1,160,31
Напиток FortiCare со вкусом капучино,9.0,5.3,19.1,160,31
Напиток FortiCare со вкусом персик-имбирь,9.0,5.3,19.1,160,31
Напиток Herbalife Восстановление выносливости,20.0,0.8,72.0,376,31
Напиток Herbalife Гидратация,0.2,0.0,13.2,226,31
Напиток Herbalife Овсяно-Яблочный,1.9,0.5,10.1,207,31
Напиток Herbalife Повышение выносливости,11.3,0.3,79.5,373,31
Напиток Nutridrink Compact Fibre со вкусом кофе,9.4,10.4,25.2,240,31
Напиток Nutridrink Compact Protein со вкусом банана,14.4,9.4,24.4,240,31
Напиток Nutridrink Compact Protein со вкусом ванили,14.4,9.4,24.4,240,31
Напиток Nutridrink Compact Protein со вкусом клубники,14.4,9.4,24.4,240,31
Напиток Nutridrink Compact Protein со вкусом кофе,14.4,9.4,24.4,240,31
Напиток Nutridrink Compact Protein со вкусом персик-манго,14.4,9.4,24.4,240,31
Напиток Nutridrink Compact с нейтральным вкусом,9.6,9.3,29.7,240,31
Напиток Nutridrink со вкусом банана,6.0,5.8,18.4,150,31
Напиток Nutridrink со вкусом ванили,6.0,5.8,18.4,150,31
Напиток Nutridrink со вкусом клубники,6.0,5.8,18.4,150,31
Напиток Nutridrink со вкусом шоколада,6.0,5.8,18.4,150,31
Напиток Renilon со вкусом абрикоса,7.5,10.0,20.0,200,31
Напиток Renilon со вкусом карамели,7.5,10.0,20.0,200,31
Печенье MyProtein Cookie,51.0,13.2,27.0,427,31
Протеин BioTech USA Iso Whey Zero,85.6,1.0,2.9,362,31
Протеин BSN Lean Dessert Protein Shake,60.0,10.0,22.9,429,31
